question,option_a,option_b,option_c,option_d,answer,category,difficulty
"If 2 workers finish a task in 2 days, how many worker-days are needed?",2,4,6,9,4,Puzzle,Medium
What is 42 + 68?,108,117,110,113,110,Quantitative,Medium
What is the square of 13?,169,170,168,174,169,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",S,R,P,Q,Q,Logical,Hard
Choose the synonym of 'bright'.,weak,smart,late,small,smart,Verbal,Medium
"If 6 workers finish a task in 9 days, how many worker-days are needed?",56,54,52,59,54,Puzzle,Hard
What is 35 + 52?,85,87,94,90,87,Quantitative,Medium
What is the square of 9?,82,80,81,86,81,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",H,G,I,J,H,Logical,Hard
Choose the synonym of 'rapid'.,weak,fast,small,late,fast,Verbal,Hard
"If 3 workers finish a task in 8 days, how many worker-days are needed?",22,24,26,29,24,Puzzle,Hard
What is 93 + 23?,114,119,123,116,116,Quantitative,Easy
What is the square of 10?,101,99,100,105,100,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",V,T,U,W,U,Logical,Medium
Choose the synonym of 'bright'.,small,weak,late,smart,smart,Verbal,Hard
"If 4 workers finish a task in 4 days, how many worker-days are needed?",14,16,21,18,16,Puzzle,Easy
What is 50 + 78?,131,128,135,126,128,Quantitative,Hard
What is the square of 20?,400,399,405,401,400,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",X,V,U,W,V,Logical,Easy
Choose the synonym of 'bright'.,late,weak,smart,small,smart,Verbal,Easy
"If 6 workers finish a task in 9 days, how many worker-days are needed?",52,54,59,56,54,Puzzle,Medium
What is 75 + 55?,137,128,133,130,130,Quantitative,Hard
What is the square of 20?,400,399,401,405,400,Quantitative,Hard
"Find the next letter in the series: F, G, H, ?",H,I,K,J,I,Logical,Hard
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Easy
"If 9 workers finish a task in 7 days, how many worker-days are needed?",61,68,65,63,63,Puzzle,Hard
What is 34 + 63?,97,95,104,100,97,Quantitative,Easy
What is the square of 7?,54,50,49,48,49,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",T,R,S,Q,R,Logical,Hard
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Easy
"If 5 workers finish a task in 10 days, how many worker-days are needed?",48,55,52,50,50,Puzzle,Easy
What is 62 + 73?,142,135,138,133,135,Quantitative,Hard
What is the square of 20?,400,401,399,405,400,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",R,P,Q,S,Q,Logical,Medium
Choose the synonym of 'rapid'.,small,late,weak,fast,fast,Verbal,Hard
"If 2 workers finish a task in 9 days, how many worker-days are needed?",20,16,18,23,18,Puzzle,Hard
What is 30 + 22?,59,52,55,50,52,Quantitative,Medium
What is the square of 20?,400,399,401,405,400,Quantitative,Medium
"Find the next letter in the series: C, D, E, ?",G,H,F,E,F,Logical,Medium
Choose the synonym of 'honest'.,truthful,small,weak,late,truthful,Verbal,Medium
"If 5 workers finish a task in 7 days, how many worker-days are needed?",33,35,37,40,35,Puzzle,Easy
What is 85 + 21?,106,104,109,113,106,Quantitative,Easy
What is the square of 16?,255,257,261,256,256,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",C,E,D,F,D,Logical,Medium
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Hard
"If 3 workers finish a task in 8 days, how many worker-days are needed?",24,22,29,26,24,Puzzle,Easy
What is 73 + 11?,91,84,82,87,84,Quantitative,Hard
What is the square of 18?,325,329,324,323,324,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",Q,R,P,S,Q,Logical,Hard
Choose the synonym of 'rapid'.,weak,fast,late,small,fast,Verbal,Hard
"If 6 workers finish a task in 6 days, how many worker-days are needed?",34,41,38,36,36,Puzzle,Hard
What is 22 + 98?,127,123,120,118,120,Quantitative,Easy
What is the square of 9?,86,80,82,81,81,Quantitative,Easy
"Find the next letter in the series: I, J, K, ?",M,K,L,N,L,Logical,Easy
Choose the synonym of 'benefit'.,small,late,advantage,weak,advantage,Verbal,Easy
"If 5 workers finish a task in 4 days, how many worker-days are needed?",18,22,25,20,20,Puzzle,Easy
What is 52 + 47?,99,106,97,102,99,Quantitative,Easy
What is the square of 15?,230,224,226,225,225,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",Y,W,V,X,W,Logical,Hard
Choose the synonym of 'benefit'.,small,advantage,late,weak,advantage,Verbal,Easy
"If 6 workers finish a task in 5 days, how many worker-days are needed?",35,28,32,30,30,Puzzle,Hard
What is 95 + 79?,174,181,172,177,174,Quantitative,Hard
What is the square of 5?,25,24,26,30,25,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",H,K,J,I,I,Logical,Medium
Choose the synonym of 'benefit'.,advantage,late,weak,small,advantage,Verbal,Hard
"If 8 workers finish a task in 7 days, how many worker-days are needed?",54,58,61,56,56,Puzzle,Medium
What is 70 + 52?,129,120,122,125,122,Quantitative,Hard
What is the square of 14?,195,196,197,201,196,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",P,R,Q,O,P,Logical,Hard
Choose the synonym of 'bright'.,smart,small,late,weak,smart,Verbal,Easy
"If 8 workers finish a task in 6 days, how many worker-days are needed?",53,46,48,50,48,Puzzle,Hard
What is 39 + 14?,51,60,56,53,53,Quantitative,Medium
What is the square of 7?,54,50,48,49,49,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",I,K,L,J,J,Logical,Easy
Choose the synonym of 'honest'.,late,weak,small,truthful,truthful,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",12,8,10,15,10,Puzzle,Hard
What is 50 + 69?,126,122,119,117,119,Quantitative,Easy
What is the square of 6?,36,41,37,35,36,Quantitative,Hard
"Find the next letter in the series: P, Q, R, ?",T,R,S,U,S,Logical,Medium
Choose the synonym of 'ancient'.,old,late,weak,small,old,Verbal,Medium
"If 4 workers finish a task in 8 days, how many worker-days are needed?",37,32,30,34,32,Puzzle,Hard
What is 87 + 78?,168,165,163,172,165,Quantitative,Medium
What is the square of 20?,399,401,405,400,400,Quantitative,Easy
"Find the next letter in the series: Q, R, S, ?",U,S,T,V,T,Logical,Medium
Choose the synonym of 'benefit'.,advantage,weak,small,late,advantage,Verbal,Hard
"If 10 workers finish a task in 9 days, how many worker-days are needed?",92,90,95,88,90,Puzzle,Medium
What is 66 + 10?,83,79,74,76,76,Quantitative,Hard
What is the square of 20?,400,405,399,401,400,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",Y,X,W,Z,X,Logical,Easy
Choose the synonym of 'benefit'.,late,advantage,weak,small,advantage,Verbal,Hard
"If 9 workers finish a task in 8 days, how many worker-days are needed?",72,70,77,74,72,Puzzle,Easy
What is 58 + 78?,134,139,143,136,136,Quantitative,Hard
What is the square of 20?,400,405,401,399,400,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",J,K,H,I,I,Logical,Hard
Choose the synonym of 'rapid'.,small,weak,late,fast,fast,Verbal,Medium
"If 4 workers finish a task in 2 days, how many worker-days are needed?",10,6,13,8,8,Puzzle,Medium
What is 99 + 48?,154,145,150,147,147,Quantitative,Medium
What is the square of 19?,362,366,360,361,361,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",E,F,D,C,D,Logical,Medium
Choose the synonym of 'honest'.,weak,truthful,small,late,truthful,Verbal,Hard
"If 9 workers finish a task in 9 days, how many worker-days are needed?",79,83,86,81,81,Puzzle,Medium
What is 88 + 11?,99,106,102,97,99,Quantitative,Medium
What is the square of 8?,63,69,65,64,64,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",X,Y,W,Z,X,Logical,Hard
Choose the synonym of 'rapid'.,fast,weak,small,late,fast,Verbal,Hard
"If 4 workers finish a task in 5 days, how many worker-days are needed?",22,18,20,25,20,Puzzle,Medium
What is 27 + 37?,62,64,67,71,64,Quantitative,Easy
What is the square of 4?,16,15,17,21,16,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",P,S,Q,R,Q,Logical,Hard
Choose the synonym of 'honest'.,small,late,truthful,weak,truthful,Verbal,Hard
"If 10 workers finish a task in 3 days, how many worker-days are needed?",35,28,30,32,30,Puzzle,Hard
What is 41 + 94?,135,133,138,142,135,Quantitative,Medium
What is the square of 12?,143,144,145,149,144,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",M,L,K,J,K,Logical,Medium
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Hard
"If 5 workers finish a task in 6 days, how many worker-days are needed?",35,32,30,28,30,Puzzle,Medium
What is 77 + 68?,145,143,152,148,145,Quantitative,Medium
What is the square of 6?,36,41,37,35,36,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",H,J,I,K,I,Logical,Hard
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Easy
"If 10 workers finish a task in 3 days, how many worker-days are needed?",35,30,28,32,30,Puzzle,Hard
What is 39 + 28?,74,65,67,70,67,Quantitative,Medium
What is the square of 19?,362,361,366,360,361,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",X,Y,Z,W,X,Logical,Hard
Choose the synonym of 'honest'.,late,small,truthful,weak,truthful,Verbal,Hard
"If 2 workers finish a task in 10 days, how many worker-days are needed?",22,25,18,20,20,Puzzle,Medium
What is 78 + 22?,103,107,98,100,100,Quantitative,Hard
What is the square of 18?,323,324,325,329,324,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",X,Y,W,V,W,Logical,Easy
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Easy
"If 2 workers finish a task in 3 days, how many worker-days are needed?",6,11,8,4,6,Puzzle,Easy
What is 50 + 17?,70,65,67,74,67,Quantitative,Medium
What is the square of 13?,168,174,169,170,169,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",J,K,I,L,J,Logical,Hard
Choose the synonym of 'bright'.,smart,small,weak,late,smart,Verbal,Medium
"If 4 workers finish a task in 10 days, how many worker-days are needed?",40,45,38,42,40,Puzzle,Medium
What is 25 + 29?,61,54,57,52,54,Quantitative,Easy
What is the square of 17?,290,294,288,289,289,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",S,R,P,Q,Q,Logical,Medium
Choose the synonym of 'rapid'.,fast,weak,small,late,fast,Verbal,Medium
"If 6 workers finish a task in 7 days, how many worker-days are needed?",40,47,42,44,42,Puzzle,Hard
What is 68 + 67?,142,133,138,135,135,Quantitative,Hard
What is the square of 12?,143,145,149,144,144,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",W,U,X,V,V,Logical,Hard
Choose the synonym of 'benefit'.,advantage,late,small,weak,advantage,Verbal,Easy
"If 9 workers finish a task in 8 days, how many worker-days are needed?",77,72,70,74,72,Puzzle,Easy
What is 80 + 67?,147,150,154,145,147,Quantitative,Hard
What is the square of 6?,41,37,35,36,36,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",P,Q,O,N,O,Logical,Medium
Choose the synonym of 'ancient'.,weak,old,small,late,old,Verbal,Easy
"If 5 workers finish a task in 8 days, how many worker-days are needed?",42,38,45,40,40,Puzzle,Easy
What is 41 + 61?,102,109,100,105,102,Quantitative,Hard
What is the square of 9?,80,81,82,86,81,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",I,K,J,L,J,Logical,Medium
Choose the synonym of 'honest'.,truthful,small,weak,late,truthful,Verbal,Hard
"If 4 workers finish a task in 9 days, how many worker-days are needed?",41,34,36,38,36,Puzzle,Medium
What is 57 + 45?,109,100,105,102,102,Quantitative,Easy
What is the square of 12?,143,149,144,145,144,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",W,X,V,U,V,Logical,Medium
Choose the synonym of 'honest'.,small,weak,truthful,late,truthful,Verbal,Easy
"If 3 workers finish a task in 5 days, how many worker-days are needed?",17,15,20,13,15,Puzzle,Easy
What is 53 + 95?,146,151,155,148,148,Quantitative,Hard
What is the square of 15?,230,225,224,226,225,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",W,X,Y,V,W,Logical,Easy
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Easy
"If 9 workers finish a task in 8 days, how many worker-days are needed?",74,72,70,77,72,Puzzle,Hard
What is 31 + 44?,78,73,75,82,75,Quantitative,Easy
What is the square of 20?,401,400,399,405,400,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",V,T,U,W,U,Logical,Easy
Choose the synonym of 'ancient'.,late,small,old,weak,old,Verbal,Easy
"If 4 workers finish a task in 3 days, how many worker-days are needed?",12,14,10,17,12,Puzzle,Hard
What is 15 + 25?,47,43,40,38,40,Quantitative,Easy
What is the square of 19?,361,360,366,362,361,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",O,P,R,Q,P,Logical,Hard
Choose the synonym of 'bright'.,small,weak,smart,late,smart,Verbal,Easy
"If 10 workers finish a task in 7 days, how many worker-days are needed?",70,75,72,68,70,Puzzle,Hard
What is 83 + 72?,158,155,162,153,155,Quantitative,Medium
What is the square of 8?,65,63,64,69,64,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",T,U,W,V,U,Logical,Medium
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Hard
"If 5 workers finish a task in 6 days, how many worker-days are needed?",30,32,28,35,30,Puzzle,Hard
What is 25 + 67?,99,90,95,92,92,Quantitative,Medium
What is the square of 20?,401,400,399,405,400,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",O,N,P,Q,O,Logical,Hard
Choose the synonym of 'rapid'.,weak,late,fast,small,fast,Verbal,Medium
"If 4 workers finish a task in 9 days, how many worker-days are needed?",38,41,36,34,36,Puzzle,Easy
What is 99 + 47?,153,149,146,144,146,Quantitative,Medium
What is the square of 19?,366,361,362,360,361,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",W,Y,X,V,W,Logical,Medium
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Easy
"If 8 workers finish a task in 3 days, how many worker-days are needed?",22,24,29,26,24,Puzzle,Hard
What is 69 + 71?,147,143,140,138,140,Quantitative,Hard
What is the square of 4?,15,17,16,21,16,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",V,T,U,W,U,Logical,Easy
Choose the synonym of 'bright'.,small,late,smart,weak,smart,Verbal,Medium
"If 8 workers finish a task in 9 days, how many worker-days are needed?",70,72,74,77,72,Puzzle,Easy
What is 99 + 35?,137,132,141,134,134,Quantitative,Medium
What is the square of 7?,54,49,50,48,49,Quantitative,Easy
"Find the next letter in the series: M, N, O, ?",P,R,Q,O,P,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Hard
"If 9 workers finish a task in 9 days, how many worker-days are needed?",86,79,83,81,81,Puzzle,Medium
What is 47 + 45?,99,90,95,92,92,Quantitative,Hard
What is the square of 14?,195,201,196,197,196,Quantitative,Easy
"Find the next letter in the series: I, J, K, ?",N,K,M,L,L,Logical,Medium
Choose the synonym of 'ancient'.,weak,old,late,small,old,Verbal,Medium
"If 3 workers finish a task in 9 days, how many worker-days are needed?",25,27,29,32,27,Puzzle,Easy
What is 57 + 85?,142,140,145,149,142,Quantitative,Hard
What is the square of 3?,9,8,14,10,9,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",W,V,X,Y,W,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,small,advantage,advantage,Verbal,Medium
"If 6 workers finish a task in 8 days, how many worker-days are needed?",46,48,53,50,48,Puzzle,Easy
What is 25 + 93?,116,125,118,121,118,Quantitative,Hard
What is the square of 14?,197,196,195,201,196,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",P,Q,R,S,Q,Logical,Hard
Choose the synonym of 'rapid'.,late,small,weak,fast,fast,Verbal,Medium
"If 8 workers finish a task in 4 days, how many worker-days are needed?",37,32,30,34,32,Puzzle,Easy
What is 67 + 74?,148,141,144,139,141,Quantitative,Hard
What is the square of 15?,230,225,226,224,225,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",F,H,E,G,F,Logical,Hard
Choose the synonym of 'bright'.,smart,weak,late,small,smart,Verbal,Easy
"If 7 workers finish a task in 7 days, how many worker-days are needed?",47,51,49,54,49,Puzzle,Hard
What is 44 + 48?,90,92,99,95,92,Quantitative,Medium
What is the square of 6?,35,41,36,37,36,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",G,H,F,I,G,Logical,Medium
Choose the synonym of 'honest'.,truthful,late,small,weak,truthful,Verbal,Hard
"If 3 workers finish a task in 7 days, how many worker-days are needed?",19,26,23,21,21,Puzzle,Hard
What is 42 + 46?,95,86,91,88,88,Quantitative,Easy
What is the square of 18?,324,323,329,325,324,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",W,X,Z,Y,X,Logical,Medium
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Medium
"If 7 workers finish a task in 7 days, how many worker-days are needed?",47,49,54,51,49,Puzzle,Medium
What is 73 + 58?,131,129,134,138,131,Quantitative,Medium
What is the square of 17?,288,289,290,294,289,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",G,H,I,J,H,Logical,Medium
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Medium
"If 3 workers finish a task in 10 days, how many worker-days are needed?",30,28,32,35,30,Puzzle,Medium
What is 75 + 81?,159,156,163,154,156,Quantitative,Hard
What is the square of 6?,37,35,41,36,36,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",D,E,C,F,D,Logical,Easy
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Hard
"If 7 workers finish a task in 4 days, how many worker-days are needed?",33,26,28,30,28,Puzzle,Hard
What is 50 + 36?,86,89,84,93,86,Quantitative,Easy
What is the square of 20?,400,399,401,405,400,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",V,W,U,X,V,Logical,Hard
Choose the synonym of 'ancient'.,late,weak,small,old,old,Verbal,Hard
"If 10 workers finish a task in 5 days, how many worker-days are needed?",48,52,55,50,50,Puzzle,Easy
What is 58 + 19?,77,75,84,80,77,Quantitative,Medium
What is the square of 17?,290,289,288,294,289,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",P,Q,O,R,P,Logical,Easy
Choose the synonym of 'honest'.,weak,small,truthful,late,truthful,Verbal,Hard
"If 4 workers finish a task in 7 days, how many worker-days are needed?",26,28,33,30,28,Puzzle,Medium
What is 72 + 63?,133,138,135,142,135,Quantitative,Hard
What is the square of 16?,257,261,255,256,256,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",D,F,C,E,D,Logical,Hard
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Medium
"If 5 workers finish a task in 2 days, how many worker-days are needed?",12,8,10,15,10,Puzzle,Easy
What is 21 + 17?,41,36,45,38,38,Quantitative,Easy
What is the square of 6?,41,36,37,35,36,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",Q,O,P,N,O,Logical,Hard
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Medium
"If 2 workers finish a task in 6 days, how many worker-days are needed?",17,14,10,12,12,Puzzle,Hard
What is 77 + 57?,134,141,137,132,134,Quantitative,Easy
What is the square of 4?,16,17,21,15,16,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",X,W,Y,V,W,Logical,Hard
Choose the synonym of 'rapid'.,small,weak,fast,late,fast,Verbal,Medium
"If 5 workers finish a task in 10 days, how many worker-days are needed?",48,52,55,50,50,Puzzle,Easy
What is 96 + 82?,178,176,185,181,178,Quantitative,Hard
What is the square of 18?,323,329,324,325,324,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",K,N,L,M,L,Logical,Easy
Choose the synonym of 'ancient'.,late,small,old,weak,old,Verbal,Easy
"If 9 workers finish a task in 8 days, how many worker-days are needed?",70,72,77,74,72,Puzzle,Hard
What is 75 + 38?,113,111,120,116,113,Quantitative,Easy
What is the square of 12?,145,144,143,149,144,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",J,L,M,K,K,Logical,Medium
Choose the synonym of 'rapid'.,small,fast,late,weak,fast,Verbal,Easy
"If 8 workers finish a task in 5 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Medium
What is 45 + 40?,83,85,92,88,85,Quantitative,Medium
What is the square of 6?,35,37,41,36,36,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",E,D,C,F,D,Logical,Easy
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Hard
"If 7 workers finish a task in 7 days, how many worker-days are needed?",49,51,47,54,49,Puzzle,Medium
What is 72 + 13?,83,88,92,85,85,Quantitative,Easy
What is the square of 12?,149,144,145,143,144,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",M,O,N,L,M,Logical,Easy
Choose the synonym of 'ancient'.,weak,old,small,late,old,Verbal,Hard
"If 8 workers finish a task in 5 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Medium
What is 12 + 83?,102,93,95,98,95,Quantitative,Easy
What is the square of 14?,197,195,196,201,196,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",U,S,T,R,S,Logical,Easy
Choose the synonym of 'honest'.,late,weak,small,truthful,truthful,Verbal,Hard
"If 2 workers finish a task in 3 days, how many worker-days are needed?",4,8,11,6,6,Puzzle,Medium
What is 17 + 83?,100,98,103,107,100,Quantitative,Hard
What is the square of 17?,290,294,288,289,289,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",C,F,D,E,D,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,small,advantage,advantage,Verbal,Hard
"If 8 workers finish a task in 6 days, how many worker-days are needed?",48,50,46,53,48,Puzzle,Hard
What is 69 + 92?,159,164,161,168,161,Quantitative,Hard
What is the square of 18?,324,323,325,329,324,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",T,V,U,S,T,Logical,Hard
Choose the synonym of 'honest'.,small,late,truthful,weak,truthful,Verbal,Easy
"If 7 workers finish a task in 5 days, how many worker-days are needed?",40,33,37,35,35,Puzzle,Hard
What is 76 + 97?,173,176,180,171,173,Quantitative,Hard
What is the square of 15?,224,225,226,230,225,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",C,E,D,F,D,Logical,Easy
Choose the synonym of 'benefit'.,advantage,small,weak,late,advantage,Verbal,Hard
"If 10 workers finish a task in 9 days, how many worker-days are needed?",90,92,95,88,90,Puzzle,Medium
What is 18 + 91?,116,112,107,109,109,Quantitative,Hard
What is the square of 15?,230,225,224,226,225,Quantitative,Hard
"Find the next letter in the series: F, G, H, ?",J,H,I,K,I,Logical,Easy
Choose the synonym of 'honest'.,truthful,small,weak,late,truthful,Verbal,Medium
"If 4 workers finish a task in 2 days, how many worker-days are needed?",8,6,13,10,8,Puzzle,Easy
What is 86 + 20?,106,104,113,109,106,Quantitative,Easy
What is the square of 9?,82,80,86,81,81,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",C,F,D,E,D,Logical,Medium
Choose the synonym of 'rapid'.,late,weak,small,fast,fast,Verbal,Hard
"If 5 workers finish a task in 6 days, how many worker-days are needed?",35,32,30,28,30,Puzzle,Hard
What is 73 + 28?,101,99,104,108,101,Quantitative,Hard
What is the square of 14?,201,197,196,195,196,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",M,K,J,L,K,Logical,Medium
Choose the synonym of 'benefit'.,late,small,advantage,weak,advantage,Verbal,Medium
"If 9 workers finish a task in 5 days, how many worker-days are needed?",47,43,50,45,45,Puzzle,Hard
What is 81 + 81?,165,169,160,162,162,Quantitative,Hard
What is the square of 16?,257,256,261,255,256,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",S,Q,R,T,R,Logical,Medium
Choose the synonym of 'honest'.,small,weak,truthful,late,truthful,Verbal,Easy
"If 9 workers finish a task in 5 days, how many worker-days are needed?",50,45,47,43,45,Puzzle,Medium
What is 17 + 78?,102,98,95,93,95,Quantitative,Medium
What is the square of 7?,54,50,48,49,49,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",I,J,H,G,H,Logical,Hard
Choose the synonym of 'bright'.,weak,small,late,smart,smart,Verbal,Medium
"If 10 workers finish a task in 3 days, how many worker-days are needed?",28,35,32,30,30,Puzzle,Hard
What is 84 + 81?,163,172,168,165,165,Quantitative,Easy
What is the square of 15?,225,230,226,224,225,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",J,K,L,M,K,Logical,Medium
Choose the synonym of 'ancient'.,old,small,late,weak,old,Verbal,Easy
"If 9 workers finish a task in 3 days, how many worker-days are needed?",27,29,25,32,27,Puzzle,Hard
What is 19 + 32?,51,49,58,54,51,Quantitative,Easy
What is the square of 8?,64,69,65,63,64,Quantitative,Hard
"Find the next letter in the series: P, Q, R, ?",T,R,U,S,S,Logical,Easy
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Easy
"If 6 workers finish a task in 2 days, how many worker-days are needed?",10,14,17,12,12,Puzzle,Easy
What is 37 + 18?,53,55,58,62,55,Quantitative,Easy
What is the square of 13?,169,168,174,170,169,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",Y,Z,W,X,X,Logical,Hard
Choose the synonym of 'honest'.,weak,small,late,truthful,truthful,Verbal,Easy
"If 6 workers finish a task in 4 days, how many worker-days are needed?",26,29,22,24,24,Puzzle,Medium
What is 47 + 91?,136,138,141,145,138,Quantitative,Easy
What is the square of 19?,361,360,362,366,361,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",R,U,S,T,S,Logical,Easy
Choose the synonym of 'benefit'.,small,advantage,late,weak,advantage,Verbal,Medium
"If 6 workers finish a task in 10 days, how many worker-days are needed?",58,60,65,62,60,Puzzle,Easy
What is 26 + 54?,80,87,83,78,80,Quantitative,Easy
What is the square of 8?,63,65,69,64,64,Quantitative,Hard
"Find the next letter in the series: Q, R, S, ?",V,U,S,T,T,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,small,advantage,advantage,Verbal,Hard
"If 10 workers finish a task in 3 days, how many worker-days are needed?",30,32,28,35,30,Puzzle,Medium
What is 45 + 47?,95,99,90,92,92,Quantitative,Medium
What is the square of 8?,63,64,65,69,64,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",N,Q,O,P,O,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,small,weak,truthful,Verbal,Hard
"If 2 workers finish a task in 8 days, how many worker-days are needed?",18,16,21,14,16,Puzzle,Easy
What is 40 + 89?,136,129,127,132,129,Quantitative,Hard
What is the square of 18?,323,325,329,324,324,Quantitative,Easy
"Find the next letter in the series: B, C, D, ?",F,E,G,D,E,Logical,Hard
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Easy
"If 6 workers finish a task in 7 days, how many worker-days are needed?",42,40,47,44,42,Puzzle,Easy
What is 49 + 44?,93,100,91,96,93,Quantitative,Hard
What is the square of 9?,82,81,80,86,81,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",V,U,W,T,U,Logical,Hard
Choose the synonym of 'benefit'.,late,advantage,small,weak,advantage,Verbal,Hard
"If 6 workers finish a task in 9 days, how many worker-days are needed?",56,59,54,52,54,Puzzle,Medium
What is 85 + 31?,116,123,114,119,116,Quantitative,Hard
What is the square of 10?,100,105,101,99,100,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",Q,R,T,S,R,Logical,Hard
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Easy
"If 8 workers finish a task in 5 days, how many worker-days are needed?",38,42,45,40,40,Puzzle,Medium
What is 59 + 30?,87,96,89,92,89,Quantitative,Easy
What is the square of 20?,399,400,401,405,400,Quantitative,Medium
"Find the next letter in the series: C, D, E, ?",E,F,G,H,F,Logical,Medium
Choose the synonym of 'benefit'.,advantage,small,weak,late,advantage,Verbal,Easy
